Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.1172416141967395
75% Corpus,2,0.01,0.31,0.18093407967215577
75% Corpus,2,0.01,0.61,0.1989774355277486
75% Corpus,2,0.01,0.9099999999999999,0.19562248997264833
75% Corpus,2,0.01,symmetric,0.17274098576391594
75% Corpus,2,0.31,0.01,0.15357699523207488
75% Corpus,2,0.31,0.31,0.195611202542834
75% Corpus,2,0.31,0.61,0.1932600549184995
75% Corpus,2,0.31,0.9099999999999999,0.189024064131157
75% Corpus,2,0.31,symmetric,0.20563261993727958
75% Corpus,2,0.61,0.01,0.21307373142380032
75% Corpus,2,0.61,0.31,0.21272324213574223
75% Corpus,2,0.61,0.61,0.18571138609593896
75% Corpus,2,0.61,0.9099999999999999,0.18571138609593896
75% Corpus,2,0.61,symmetric,0.1837938493811293
75% Corpus,2,0.9099999999999999,0.01,0.18469108009138907
75% Corpus,2,0.9099999999999999,0.31,0.19351447782267867
75% Corpus,2,0.9099999999999999,0.61,0.19424931500786877
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.19985925603282562
75% Corpus,2,0.9099999999999999,symmetric,0.19460638758287305
75% Corpus,2,symmetric,0.01,0.18597171214508174
75% Corpus,2,symmetric,0.31,0.20228922629132767
75% Corpus,2,symmetric,0.61,0.20012200945320655
75% Corpus,2,symmetric,0.9099999999999999,0.18902406413115697
75% Corpus,2,symmetric,symmetric,0.1837938493811293
75% Corpus,2,asymmetric,0.01,0.16886803430263367
75% Corpus,2,asymmetric,0.31,0.17392828937770952
75% Corpus,2,asymmetric,0.61,0.18247366654636316
75% Corpus,2,asymmetric,0.9099999999999999,0.19552517518937718
75% Corpus,2,asymmetric,symmetric,0.17840906946666946
75% Corpus,3,0.01,0.01,0.2495133722623318
75% Corpus,3,0.01,0.31,0.2641773026613043
75% Corpus,3,0.01,0.61,0.2604009278510966
75% Corpus,3,0.01,0.9099999999999999,0.2690538817486157
75% Corpus,3,0.01,symmetric,0.2735951675558223
75% Corpus,3,0.31,0.01,0.2777448839934339
75% Corpus,3,0.31,0.31,0.2987296801138329
75% Corpus,3,0.31,0.61,0.2891445670204659
75% Corpus,3,0.31,0.9099999999999999,0.27555472766393524
75% Corpus,3,0.31,symmetric,0.30098281662528725
75% Corpus,3,0.61,0.01,0.2683614462714019
75% Corpus,3,0.61,0.31,0.22869166657398599
75% Corpus,3,0.61,0.61,0.26205634167898
75% Corpus,3,0.61,0.9099999999999999,0.3110005340421383
75% Corpus,3,0.61,symmetric,0.23938773404875793
75% Corpus,3,0.9099999999999999,0.01,0.24802247202100394
